OBJECTID,zones905,FREQUENCY,Age_adjusted_LCM,Female_Rate,Male_Rate,less_than_49,F49_74,beyond_74,smokrate,GDP,Health_Care_Quality,Health_care_Access,Public_Health,wind,NO2,Temp,SO2,PM25,ozone,co,rank
106,111,2,35.3,28.65,38.945,0.78,87.2,334.38,0.157,2,30,47,23,88.2505238,11.05560429,65.58314596,3.697498208,33.71479648,37.64077373,0.256023734,2
370,389,2,42.9,71.225,70.33,0,131.795,335.085,0.138,17,1,9,10,98.95246397,16.5361122,58.93215711,0.588572226,28.73090008,38.66141555,0.27337967,3
47,48,2,38.8,38.395,51.66,0,117.255,335.145,0.157,2,30,47,23,87.7986352,10.30153751,65.28687029,3.882528338,33.63885455,37.68344212,0.258105944,3
137,142,1,44.5,70.51,72.08,0,135.87,335.2,0.173,43,14,23,33,114.8159805,13.09807322,47.41957054,0.46507673,24.08095608,34.54851646,0.228471769,3
819,859,2,47.35,70.735,81.22,0,168.85,335.41,0.223,34,44,40,49,83.97642499,11.87433624,62.36433529,7.384057659,33.75890042,37.13028466,0.25826619,4
4,2,1,44.3,70.19,66.63,0,139.54,335.77,0.193,14,11,15,36,96.89148814,16.76449801,49.50461884,3.049034754,32.67468885,38.45753988,0.249170045,3
29,30,1,39,53.79,59.88,0,100.86,336.02,0.16,21,9,16,21,96.16189067,15.4258407,49.1085612,1.377219001,34.26695442,37.5389417,0.26394623,3
828,868,1,43.7,63.84,67.65,0,112.49,336.75,0.187,6,10,6,25,94.30701447,14.77705956,52.54173279,0.868005753,32.56334464,34.86330477,0.255655912,3
664,697,2,42.1,41.63,70.035,0,139.445,336.84,0.157,2,30,47,23,87.86719361,11.91880818,64.44438172,3.850621809,33.2942599,39.75333839,0.25657983,3
831,871,2,41.95,50.2,51.43,0,123.14,336.91,0.1815,13.5,42,25.5,27,96.5608551,14.99129057,54.41271248,5.103777552,32.57939434,40.42241707,0.251597476,3
590,620,2,46.2,60.07,59.3,0,133.81,337.25,0.193,14,11,15,36,98.06860288,16.57965851,48.86116727,1.951843749,31.02125247,37.11871275,0.248784514,4
566,596,1,47.2,65.71,91.61,0,164.76,337.6,0.211,7,23,24,42,98.70144908,14.88428561,54.95062892,4.311237176,31.59831874,39.97851372,0.207438144,4
424,447,1,33.7,59.85,42.42,0,0,338.82,0.201,30,48,49,44,90.53081614,13.81520827,58.63218333,2.916965707,32.54405518,37.21677526,0.249514974,2
670,704,2,42.8,67.215,76.69,0,151.46,339.05,0.155,5,46,18,14,97.73563385,15.22418053,50.64310329,2.079425116,34.32688459,39.3062919,0.255038726,3
14,13,2,41.15,49.97,58.375,0,85.985,339.265,0.218,19,41,39,41,93.66798973,16.41126172,53.9784689,3.555428108,32.54275259,35.93606695,0.257204012,3
824,864,1,38,73.61,69.49,0,98.93,339.37,0.211,7,23,24,42,98.3488903,16.77712774,51.0341444,2.422356963,32.87806797,38.46478176,0.250806674,2
677,711,1,51.5,94.13,78.09,0,203.13,339.46,0.209,27,35,38,47,55.82085355,15.18323602,68.58779907,2.33496658,34.81174278,36.7157917,0.268000046,5
304,315,2,44.9,51.98,73.565,0,95.44,339.865,0.218,19,41,39,41,93.60056687,16.53083325,54.7695694,1.824898482,33.58060646,36.07616425,0.241893705,4
797,837,1,43.9,62.17,79.69,0,142.06,340.04,0.135,11,17,11,9,93.60259943,18.69660098,49.1339006,4.069725057,30.75226792,31.8147049,0.229855069,3
286,297,1,55.8,66.12,75.78,0,141.36,340.49,0.218,19,41,39,41,95.19455973,16.04400349,53.20470047,1.926761468,34.78931936,35.92450587,0.259347399,5
604,635,2,38.4,35.28,47.235,0,99.195,340.685,0.157,2,30,47,23,94.58109602,16.71384963,58.79411126,2.126538336,24.01018159,43.18481223,0.271580418,2
490,514,2,46.85,57.55,89.435,0,149.71,340.895,0.172,10,21,22,30,96.82451312,14.59871169,60.58172973,1.054783049,30.9695251,42.8560373,0.253466908,4
719,754,2,42.9,57.275,57.72,0,88.56,341.525,0.218,19,41,39,41,95.50385475,17.97486782,53.29663563,2.311397732,34.28629875,35.93727525,0.264880086,3
23,23,2,45.35,39.89,67.895,0,146.4,342.71,0.157,2,30,47,23,87.95931944,8.273366928,65.74140485,3.755862058,34.18935903,36.09243075,0.261275237,4
85,88,2,50.45,70.28,78.135,0,149.575,343.08,0.222,36,50,45,46,70.88749085,12.81947661,69.36732941,3.497377908,33.94333639,37.19398356,0.274782673,4
369,388,1,48.9,38.28,80.89,11.95,120.83,343.83,0.222,36,50,45,46,62.46569252,12.80620639,69.87668864,2.222320477,34.75332896,37.16503143,0.262582108,4
298,309,1,47.6,65.33,72.5,0,169.72,343.92,0.211,7,23,24,42,97.43154144,16.83580256,52.54139423,1.249113828,34.17039013,40.43963623,0.237987254,4
83,86,2,48.7,50.98,54.085,0,151.79,344.03,0.175,8,39,42,29,99.34371758,17.02196598,63.01135636,1.098321289,37.42716122,41.80708599,0.278781712,4
755,793,1,42.7,83.45,108.01,0,116.29,344.29,0.193,14,11,15,36,95.99662145,15.49926964,43.08942095,2.894098918,27.94875304,35.69509951,0.247809062,3
472,495,1,58,79.97,94.61,0,194.38,344.35,0.209,27,35,38,47,91.875741,17.27901721,61.18196535,4.062532812,31.83327794,41.02716276,0.259275817,5
355,373,2,39.1,53.325,60.945,0,105.675,344.63,0.172,10,21,22,30,94.48806064,13.2465446,60.26656755,1.096875002,32.25379292,43.34421603,0.242154956,3
809,849,2,41.35,63,64.1,0,109.84,344.7,0.137,9,20,13,3,103.2025748,18.75839568,59.57723942,0.727689334,30.09519625,37.77511321,0.276597394,3
80,83,1,50.2,64.22,78.83,0,174.32,344.73,0.231,26,42,29,45,75.02791341,12.32330742,68.94701004,3.662866751,34.65423075,36.73888524,0.273878197,4
684,718,3,40.13333333,44.17,54.33333333,0,114.0833333,344.8366667,0.208,22,38,33,40,92.60026933,15.30858493,53.92729572,4.918346939,30.74728952,38.47343901,0.245409847,3
631,663,3,77.7,110.6733333,141.9966667,0,241.8566667,344.89,0.222,36,50,45,46,84.59670893,14.29530941,62.80804376,4.712980056,33.76421079,37.39493349,0.257519279,5
842,883,2,39.9,42.915,71.425,0,108.19,345.015,0.164,13,22,14,20,97.3602651,13.13539442,59.11277136,2.061688384,29.58455086,41.52949365,0.22393322,3
379,398,1,38.7,47.7,40.28,0,95.65,345.93,0.164,13,22,14,20,94.54626719,15.02251403,56.89707311,1.302976648,28.69166311,39.44293722,0.244810492,3
91,94,2,49.1,69.315,66.13,0,158.8,346.055,0.201,30,48,49,44,87.33624422,13.32253708,58.89770026,3.695695378,32.5908779,36.65159044,0.247935826,4
635,667,2,43,52.015,52.06,1.43,117.755,346.325,0.16,21,9,16,21,97.76679128,16.26965145,49.39188849,1.197729727,31.94698824,38.61232764,0.254450425,3
451,474,1,40.7,42.92,59.98,0,122.56,346.55,0.211,7,23,24,42,98.0262207,16.50953674,53.93764572,2.207949185,33.64305954,40.71079063,0.217856899,3
763,801,1,50,54.35,91.62,0,137.38,346.62,0.226,16,15,35,43,102.6104685,15.68632793,59.36329397,1.810717662,30.5713164,41.30495262,0.275314614,4
108,113,3,43.5,54.86,29.19666667,1.323333333,126.1566667,346.7233333,0.164,13,22,14,20,89.79330381,15.33769269,59.4337368,1.104280711,28.76103386,39.70798715,0.250194381,3
393,415,1,50.9,65.72,68.58,0,191.29,346.85,0.201,30,48,49,44,96.43245888,13.85728828,58.920976,2.944431682,32.67982705,38.06761424,0.270025571,4
198,205,2,38.75,63.005,83.115,0,108.045,347.12,0.1655,27.5,18.5,44.5,29,89.86194941,19.66625086,64.2022494,3.14982916,24.54260802,46.04512463,0.253498681,3
646,679,2,35.95,42.3,57.4,1.82,78.755,347.55,0.137,9,20,13,3,101.6275838,20.47926767,59.25832113,0.711167231,30.16261737,38.01053111,0.27448231,2
367,386,2,46.95,40.53,92.45,0,160.64,348.465,0.151,15,11.5,11.5,15,94.98311234,16.02424922,57.67111588,0.902902047,28.11759361,39.83338674,0.255870511,4
332,345,1,32.2,56.36,72.82,0,0,348.95,0.16,21,9,16,21,100.7498327,14.14309656,37.1716916,1.905429482,29.60596275,34.9394006,0.266557826,1
352,370,3,40.7,46.535,75.05,0,115.0333333,349.5466667,0.172,10,21,22,30,90.43420347,14.57105017,60.81390254,2.006184637,30.98498853,42.14895185,0.218782266,3
626,658,1,41.6,49.95,38.24,0,109.31,349.78,0.135,11,17,11,9,100.9031757,18.67532333,51.92794164,4.058256944,31.97899946,33.96181571,0.231894527,3
244,253,2,48.65,83.73,85.215,0,145.15,350.025,0.155,5,46,18,14,94.27549744,15.87951041,55.65666723,14.14668572,31.41204786,39.16529036,0.248811323,4
55,58,1,49,58.78,62.74,0,177.25,350.19,0.231,26,42,29,45,87.97567749,9.998827934,65.93674215,4.295583884,35.47515488,36.09886246,0.294313794,4
208,215,1,55.6,72.41,90.25,0,196.98,350.19,0.172,10,21,22,30,91.89761925,13.95914898,61.28304005,0.522953264,33.33855057,43.37656116,0.258651271,5
170,177,1,37.3,0,55.82,0,0,350.26,0.141,3,26,5,10,96.18095779,15.32309389,33.77412033,0.831756443,26.06696892,34.50503349,0.248638473,2
423,446,2,31.9,29.545,35.02,0,61.245,350.275,0.172,10,21,22,30,91.91376496,14.32336104,61.03083992,1.682468996,31.67358232,42.73193312,0.220901054,1
417,439,1,35,42.57,41.52,0,83.9,350.34,0.16,21,9,16,21,96.85169729,13.94170888,48.34321912,2.631679018,30.26528104,35.7706852,0.265423261,2
148,154,1,42.8,32.49,59.89,0,116.16,350.77,0.175,8,39,42,29,99.71033223,17.7200985,63.65116119,2.910589457,35.73709997,41.68303299,0.270416518,3
415,437,1,46.5,51.72,63.22,0,136.77,351.43,0.226,16,15,35,43,94.35422516,17.11894493,58.63671494,3.814195335,29.8454957,40.05439072,0.265600657,4
599,629,1,50.9,48.92,90.11,0,179.87,351.47,0.209,27,35,38,47,87.59276772,17.57351542,62.23194313,4.862952828,32.6744175,40.84887981,0.263282895,4
380,399,2,42.7,47.82,82.945,0,117.55,351.615,0.172,10,21,22,30,94.2994957,14.02923513,60.77613688,0.7457284,32.04271102,43.18136168,0.25639023,3
